,Rank,Release Year,Movie,Worldwide Box Office,Domestic Box Office,International Box Office
12,"9,032",2008,Goal! 2: Living the Dream...,"$4,259,067","$225,067","$4,034,000"
13,"9,033",2016,Demolition,"$4,253,297","$1,978,592","$2,274,705"
14,"9,034",2012,Therese Desqueyroux,"$4,253,063","$226,555","$4,026,508"
15,"9,035",2018,Hot Dog,"$4,251,298",$0,"$4,251,298"
16,"9,036",2016,Rosalie Blum,"$4,251,230",$0,"$4,251,230"
17,"9,037",1990,Lambada,"$4,248,622","$4,248,622",$0
18,"9,038",1993,Mr. Nanny,"$4,247,162","$4,247,162",$0
19,"9,039",2006,Brick,"$4,243,996","$2,075,743","$2,168,253"
20,"9,040",2016,TÃ´ Ryca!,"$4,243,953",$0,"$4,243,953"
21,"9,041",2018,Il Vegetale,"$4,241,706",$0,"$4,241,706"
22,"9,042",2017,Najlepszy,"$4,241,533",$0,"$4,241,533"
23,"9,043",2002,Men with Brooms,"$4,239,767","$4,239,767",$0
24,"9,044",2003,The Gospel of John,"$4,234,355","$4,068,087","$166,268"
25,"9,045",2018,"Juliet, Naked","$4,232,918","$3,444,895","$788,023"
26,"9,046",2012,Holy Motors,"$4,230,426","$641,054","$3,589,372"
27,"9,047",1980,Roadie,"$4,226,370","$4,226,370",$0
28,"9,048",2018,Gaston Lagaffe,"$4,224,925",$0,"$4,224,925"
29,"9,049",2016,Amis Publics NÂ°1,"$4,222,361",$0,"$4,222,361"
30,"9,050",2001,Left Behind,"$4,221,341","$4,221,341",$0
31,"9,051",2018,Liliane Susewind - Ein tierisches Abenteuer,"$4,220,933",$0,"$4,220,933"
32,"9,052",2016,Pinku to gurÃª,"$4,215,944",$0,"$4,215,944"
33,"9,053",2015,Go! Princess Pretty Cure The Movie Go! Go!! Gor…,"$4,214,364",$0,"$4,214,364"
34,"9,054",2019,The Beach Bum,"$4,213,146","$3,497,594","$715,552"
35,"9,055",2011,Saya-zamurai,"$4,213,126",$0,"$4,213,126"
36,"9,056",2018,Kursk,"$4,212,799",$0,"$4,212,799"
37,"9,057",1985,That's Dancing,"$4,210,938","$4,210,938",$0
38,"9,058",2019,Storm Boy,"$4,209,121","$71,760","$4,137,361"
39,"9,059",2013,Welcome to the Punch,"$4,207,102","$7,034","$4,200,068"
40,"9,060",2018,Den Skyldige,"$4,205,547","$207,140","$3,998,407"
41,"9,061",2008,Beastie Boys,"$4,205,499",$0,"$4,205,499"
42,"9,062",2009,The Damned United,"$4,199,874","$449,865","$3,750,009"
43,"9,063",1995,Richard III,"$4,199,334","$2,684,904","$1,514,430"
44,"9,064",2002,ESPN's Ultimate X - The Movie,"$4,197,175","$4,197,175",$0
45,"9,065",1999,Sweet and Lowdown,"$4,196,621","$4,196,621",$0
46,"9,066",1997,The Tango Lesson,"$4,194,038","$1,026,402","$3,167,636"
47,"9,067",2015,Tanu Weds Manu Returns,"$4,192,944","$3,043,479","$1,149,465"
48,"9,068",1989,Red Scorpion,"$4,192,000","$4,192,000",$0
49,"9,069",2015,The Long Way Home,"$4,185,530",$0,"$4,185,530"
50,"9,070",1992,Twin Peaks: Fire Walk With Me,"$4,184,819","$4,160,851","$23,968"
51,"9,071",2008,Les femmes de l'ombre,"$4,183,710",$0,"$4,183,710"
52,"9,072",2016,Zan'e: Sunde wa ikenai heya,"$4,182,808",$0,"$4,182,808"
53,"9,073",2012,Nitro Circus: The Movie 3D,"$4,182,062","$3,377,000","$805,062"
54,"9,074",1989,Listen to Me,"$4,177,448","$4,177,448",$0
55,"9,075",2000,With a Friend Like Harry,"$4,174,495","$4,174,495",$0
56,"9,076",2014,Pak Van Mijn Hart,"$4,170,873",$0,"$4,170,873"
57,"9,077",2015,Un homme idÃ©al,"$4,167,356",$0,"$4,167,356"
58,"9,078",2017,Les Gardiennes,"$4,167,203","$177,331","$3,989,872"
59,"9,079",2016,In guerra per amore,"$4,166,265",$0,"$4,166,265"
60,"9,080",1995,Priest,"$4,165,845","$4,165,845",$0
61,"9,081",2015,Dil Dhadakne Do,"$4,164,463","$3,066,100","$1,098,363"
62,"9,082",2015,The Cobbler,"$4,161,533",$0,"$4,161,533"
63,"9,083",2011,Bride Flight,"$4,161,287","$501,360","$3,659,927"
64,"9,084",2002,Mostly Martha (Drei Sterne),"$4,160,475","$4,160,475",$0
65,"9,085",2018,Girl,"$4,157,733",$0,"$4,157,733"
66,"9,086",2015,La tete haute,"$4,157,267","$26,144","$4,131,123"
67,"9,087",2009,Good Hair,"$4,157,223","$4,157,223",$0
68,"9,088",2014,Cuban Fury,"$4,157,105","$57,105","$4,100,000"
69,"9,089",2015,Noi e la Giulia,"$4,156,499",$0,"$4,156,499"
70,"9,090",2007,Waiting for a Miracle,"$4,152,160",$0,"$4,152,160"
71,"9,091",2008,Witless Protection,"$4,151,836","$4,151,836",$0
72,"9,092",2018,Ghost Stories,"$4,151,828","$148,747","$4,003,081"
73,"9,093",2017,Good Time,"$4,144,128","$2,026,498","$2,117,630"
74,"9,094",2014,Jimmy's Hall,"$4,143,253","$560,341","$3,582,912"
75,"9,095",2000,Whipped,"$4,142,507","$4,142,507",$0
76,"9,096",2012,360,"$4,141,251","$100,343","$4,040,908"
77,"9,097",2016,Smeshariki. Legenda o Zolotom Drakone,"$4,140,403",$0,"$4,140,403"
78,"9,098",2015,Pawn Sacrifice,"$4,138,747","$2,436,308","$1,702,439"
79,"9,099",1996,To Gillian on Her 37th Birthday,"$4,137,645","$4,137,645",$0
80,"9,100",1990,Heart Condition,"$4,134,992","$4,134,992",$0
1,"9,101",2016,Iftarlik Gazoz,"$4,134,490",$0,"$4,134,490"
2,"9,102",2011,From Prada to Nada,"$4,133,692","$3,033,623","$1,100,069"
3,"9,103",2015,Mistress America,"$4,133,126","$2,500,431","$1,632,695"
4,"9,104",2019,Cale szczescie,"$4,132,179",$0,"$4,132,179"
5,"9,105",2017,HHhH,"$4,132,063",$0,"$4,132,063"
6,"9,106",2016,A Quiet Passion,"$4,131,519","$1,865,396","$2,266,123"
7,"9,107",2008,Comme les autres,"$4,130,967",$0,"$4,130,967"
8,"9,108",2018,Dino King,"$4,129,689",$0,"$4,129,689"
9,"9,109",2013,The To Do List,"$4,128,828","$3,491,669","$637,159"
10,"9,110",2012,Emergo,"$4,126,617",$256,"$4,126,361"
11,"9,111",2008,Choke,"$4,124,277","$2,926,565","$1,197,712"
12,"9,112",2018,Nativity Rocks!,"$4,121,839",$0,"$4,121,839"
13,"9,113",2008,Cliente,"$4,121,833",$0,"$4,121,833"
14,"9,114",2010,Qi Xiao Luo Han,"$4,120,000",$0,"$4,120,000"
15,"9,115",2018,Po Äem muÅ¾i touÅ¾Ã­,"$4,119,470",$0,"$4,119,470"
16,"9,116",1982,Venom,"$4,117,958","$4,117,958",$0
17,"9,117",2005,Stay,"$4,117,883","$3,626,883","$491,000"
18,"9,118",2012,Joker,"$4,116,517","$169,181","$3,947,336"
19,"9,119",2017,Pichi Garu,"$4,116,303",$0,"$4,116,303"
20,"9,120",2017,The Hero,"$4,112,369","$4,077,333","$35,036"
1,"9,121",2008,L'empreinte de l'ange,"$4,112,292",$0,"$4,112,292"
2,"9,122",2016,Ãakallarla Dans 4,"$4,111,121",$0,"$4,111,121"
3,"9,123",1982,Partners,"$4,109,724","$4,109,724",$0
4,"9,124",1997,Kama Sutra,"$4,109,095","$4,109,095",$0
5,"9,125",1993,This Boy's Life,"$4,104,962","$4,104,962",$0
6,"9,126",2006,Changing Times,"$4,104,160","$545,255","$3,558,905"
7,"9,127",1998,Kissing a Fool,"$4,100,505","$4,100,505",$0
8,"9,128",1985,My Science Project,"$4,100,000","$4,100,000",$0
9,"9,129",1946,Easy to Wed,"$4,100,000","$4,100,000",$0
10,"9,130",1995,Restoration,"$4,100,000","$4,100,000",$0
11,"9,131",1946,The Harvey Girls,"$4,100,000","$4,100,000",$0
12,"9,132",2017,Beata ignoranza,"$4,097,355",$0,"$4,097,355"
13,"9,133",1984,Until September,"$4,097,094","$4,097,094",$0
14,"9,134",2009,AibÃ´ shirÃ®zu Kanshiki Yonezawa Mamoru no jikenbo,"$4,089,965",$0,"$4,089,965"
15,"9,135",1990,¡Ãtame!,"$4,087,000","$4,087,000",$0
16,"9,136",2016,8 luchshikh svidaniy,"$4,085,444",$0,"$4,085,444"
17,"9,137",2007,Flood,"$4,084,232",$0,"$4,084,232"
18,"9,138",1986,That's Life!,"$4,079,895","$4,079,895",$0
19,"9,139",1991,Impromptu,"$4,076,211","$4,076,211",$0
20,"9,140",1967,Caprice,"$4,075,000","$4,075,000",$0
21,"9,141",1997,Meet Wally Sparks,"$4,073,582","$4,073,582",$0
22,"9,142",2018,Bankier Van Het Verzet,"$4,068,853",$0,"$4,068,853"
23,"9,143",1968,Belle de Jour,"$4,068,561","$4,056,534","$12,027"
24,"9,144",2015,Katti Batti,"$4,068,010","$364,932","$3,703,078"
25,"9,145",1990,Lisa,"$4,067,725","$4,067,725",$0
26,"9,146",2018,Pari,"$4,065,233",$0,"$4,065,233"
27,"9,147",1999,Le Diner de Cons,"$4,065,116","$4,065,116",$0
28,"9,148",2010,Stone,"$4,065,020","$1,810,078","$2,254,942"
29,"9,149",1995,Tank Girl,"$4,064,333","$4,064,333",$0
30,"9,150",1992,Peterâs Friends,"$4,058,564","$4,058,564",$0
31,"9,151",1999,The Winslow Boy,"$4,058,350","$4,058,350",$0
32,"9,152",2015,Ju-on: Za fainaru,"$4,054,991",$0,"$4,054,991"
33,"9,153",2018,Mademoiselle de JoncquiÃ¨res,"$4,054,477",$0,"$4,054,477"
34,"9,154",2015,Yi wan nian yi hou,"$4,050,000",$0,"$4,050,000"
35,"9,155",2005,King's Ransom,"$4,049,527","$4,008,527","$41,000"
36,"9,156",1996,Antonia,"$4,047,426","$4,047,426",$0
37,"9,157",2011,Werner - Eiskalt,"$4,046,409",$0,"$4,046,409"
38,"9,158",1992,Mediterraneo,"$4,044,228","$4,044,228",$0
39,"9,159",1994,Trois couleurs: Rouge,"$4,043,000","$4,043,000",$0
40,"9,160",1996,Breaking the Waves,"$4,040,691","$4,040,691",$0
41,"9,161",2015,Yapisik Kardesler,"$4,035,238",$0,"$4,035,238"
42,"9,162",2005,Schultze Gets the Blues,"$4,034,232","$595,071","$3,439,161"
43,"9,163",1992,Passed Away,"$4,030,793","$4,030,793",$0
44,"9,164",2018,Selbst,"$4,028,984",$0,"$4,028,984"
45,"9,165",2012,The Paperboy,"$4,027,663","$677,200","$3,350,463"
46,"9,166",2017,Bolshoy,"$4,026,003",$0,"$4,026,003"
47,"9,167",1962,Taras Bulba,"$4,024,833","$4,000,000","$24,833"
48,"9,168",1999,Idle Hands,"$4,023,741","$4,023,741",$0
49,"9,169",2011,There Be Dragons,"$4,020,990","$1,069,334","$2,951,656"
50,"9,170",2018,Sketch,"$4,020,070",$0,"$4,020,070"
51,"9,171",2018,Here Comes the Grump,"$4,019,495","$2,150","$4,017,345"
52,"9,172",2017,Visages villages,"$4,017,519","$952,432","$3,065,087"
53,"9,173",2010,Vallanzasca - Gli angeli del male,"$4,017,500",$0,"$4,017,500"
54,"9,174",2017,The Three Little Pigs 2,"$4,015,456",$0,"$4,015,456"
55,"9,175",2017,DiDi's Dreams,"$4,013,033",$0,"$4,013,033"
56,"9,176",1984,Mrs. Soffel,"$4,012,827","$4,012,827",$0
57,"9,177",1990,Mountains of the Moon,"$4,011,793","$4,011,793",$0
58,"9,178",2015,A Perfect Day,"$4,011,304","$5,002","$4,006,302"
59,"9,179",2016,Sanada JÃ»yÃ»shi,"$4,010,847",$0,"$4,010,847"
60,"9,180",1990,Short Time,"$4,010,647","$4,010,647",$0
61,"9,181",2019,Bajo el mismo techo,"$4,010,466",$0,"$4,010,466"
62,"9,182",2016,EkÅi Elmalar,"$4,009,596",$0,"$4,009,596"
63,"9,183",2018,I Feel Good,"$4,008,571",$0,"$4,008,571"
64,"9,184",1997,8 Heads in a Duffel Bag,"$4,002,884","$3,602,884","$400,000"
65,"9,185",2016,Marseille,"$4,000,349",$0,"$4,000,349"
66,"9,186",1975,The Stepford Wives,"$4,000,000","$4,000,000",$0
67,"9,187",1945,Dillinger,"$4,000,000","$4,000,000",$0
68,"9,188",1980,Kagemusha,"$4,000,000","$4,000,000",$0
69,"9,189",1938,You Can't Take It With You,"$4,000,000","$4,000,000",$0
70,"9,190",1971,The Million Dollar Duck,"$4,000,000","$4,000,000",$0
71,"9,191",1941,A Yank in the R.A.F.,"$4,000,000","$4,000,000",$0
72,"9,192",1986,Tai-Pan,"$4,000,000","$4,000,000",$0
73,"9,193",1982,The Boogens,"$4,000,000","$4,000,000",$0
74,"9,194",1971,Willy Wonka & the Chocolate Factory,"$4,000,000","$4,000,000",$0
75,"9,195",1982,The Beast Within,"$4,000,000","$4,000,000",$0
76,"9,196",1986,Vamp,"$4,000,000","$4,000,000",$0
77,"9,197",1938,Alexander's Ragtime Band,"$4,000,000","$4,000,000",$0
78,"9,198",1957,Jailhouse Rock,"$4,000,000","$4,000,000",$0
79,"9,199",1963,Blood Feast,"$4,000,000","$4,000,000",$0
80,"9,200",1987,Leonard Part 6,"$4,000,000","$4,000,000",$0
1,"9,201",1994,Brainscan,"$4,000,000","$4,000,000",$0
2,"9,202",1931,Ingagi,"$4,000,000","$4,000,000",$0
3,"9,203",1980,Die Laughing,"$4,000,000","$4,000,000",$0
4,"9,204",1968,Star!,"$4,000,000","$4,000,000",$0
5,"9,205",1941,Buck Privates,"$4,000,000","$4,000,000",$0
6,"9,206",1987,Made in Heaven,"$4,000,000","$4,000,000",$0
7,"9,207",1987,American Ninja 2: The Confrontation,"$4,000,000","$4,000,000",$0
8,"9,208",1987,Amazing Grace and Chuck,"$4,000,000","$4,000,000",$0
9,"9,209",2016,Les Malheurs de Sophie,"$3,998,736",$0,"$3,998,736"
10,"9,210",1989,The Mighty Quinn,"$3,992,420","$3,992,420",$0
11,"9,211",2016,YÄ±ldÄ±zlar da Kayar: Das Borak,"$3,990,860",$0,"$3,990,860"
12,"9,212",2014,Ragnarok,"$3,990,250","$1,369","$3,988,881"
13,"9,213",1990,"Welcome Home, Roxy Carmichael","$3,989,297","$3,989,297",$0
14,"9,214",2016,Strana chudes,"$3,987,780",$0,"$3,987,780"
15,"9,215",2012,The Broken Circle Breakdown,"$3,985,226","$175,038","$3,810,188"
16,"9,216",2004,The Story of the Weeping Camel,"$3,982,419","$1,751,698","$2,230,721"
17,"9,217",2015,Nous trois ou rien,"$3,982,029",$0,"$3,982,029"
18,"9,218",2000,Chopper,"$3,980,695","$234,259","$3,746,436"
19,"9,219",2011,Goyangyi: Jookeumeul Boneun Doo Gaeui Noon,"$3,980,234",$0,"$3,980,234"
20,"9,220",2009,Kochaj i Tancz,"$3,977,016",$0,"$3,977,016"
1,"9,221",2003,Step Into Liquid,"$3,975,542","$3,681,803","$293,739"
2,"9,222",2018,"Geunal, bada","$3,972,816",$0,"$3,972,816"
3,"9,223",2002,Spider-Man/Men in Black II Double-Bill,"$3,971,552","$3,971,552",$0
4,"9,224",2008,Wedding Daze,"$3,969,756",$0,"$3,969,756"
5,"9,225",2018,2.0,"$3,967,923",$0,"$3,967,923"
6,"9,226",2019,Verliefd Op Cuba,"$3,966,812",$0,"$3,966,812"
7,"9,227",1988,Bat*21,"$3,966,256","$3,966,256",$0
8,"9,228",1988,Memories of Me,"$3,965,000","$3,965,000",$0
9,"9,229",2008,Missing,"$3,964,925",$0,"$3,964,925"
10,"9,230",2015,Soreike! Anpanman Mija To Maho No Lamp,"$3,963,396",$0,"$3,963,396"
11,"9,231",2016,Die wilden Kerle 6 - Die Legende lebt,"$3,963,295",$0,"$3,963,295"
12,"9,232",2018,Tonari no kaibutsu kun,"$3,962,689",$0,"$3,962,689"
13,"9,233",2018,Metti la nonna in freezer,"$3,961,770",$0,"$3,961,770"
14,"9,234",2017,Koisaika Miyamoto,"$3,960,502",$0,"$3,960,502"
15,"9,235",2018,Tudo por um Pop Star,"$3,960,475",$0,"$3,960,475"
16,"9,236",2018,Kimi no suizÃ´ wo tabetai,"$3,959,923",$0,"$3,959,923"
17,"9,237",2017,Er Ci Chu Lian,"$3,957,193",$0,"$3,957,193"
18,"9,238",2018,Tholi Prema,"$3,956,883",$0,"$3,956,883"
19,"9,239",1996,Ed,"$3,956,785","$3,956,785",$0
20,"9,240",1998,Playing by Heart,"$3,956,212","$3,956,212",$0
21,"9,241",2008,Il Papa di Giovanna,"$3,955,837",$0,"$3,955,837"
22,"9,242",2017,El guardiÃ¡n invisible,"$3,954,408",$0,"$3,954,408"
23,"9,243",1989,The Phantom of the Opera,"$3,953,745","$3,953,745",$0
24,"9,244",1983,Joysticks,"$3,952,000","$3,952,000",$0
25,"9,245",2011,Qualquer Gato Vira-Lata,"$3,950,978",$0,"$3,950,978"
26,"9,246",2019,Hello Carbot The Movie: The Secret of Omphalos …,"$3,947,864",$0,"$3,947,864"
27,"9,247",2016,Ma Famille TâAdore DÃ©jÃ ,"$3,947,091",$0,"$3,947,091"
28,"9,248",2016,Tschick,"$3,946,873",$0,"$3,946,873"
29,"9,249",1995,Gordy,"$3,941,146","$3,941,146",$0
30,"9,250",2015,Yeol-jeong-gat-eun-so-ri-ha-go-it-ne,"$3,939,736",$0,"$3,939,736"
31,"9,251",1995,The Pebble and the Penguin,"$3,939,728","$3,939,728",$0
32,"9,252",2017,Sleight,"$3,934,450","$3,930,990","$3,460"
33,"9,253",2012,Hagane no renkinjutsushi: Mirosu no seinaru hoshi,"$3,934,008","$178,000","$3,756,008"
34,"9,254",2010,The Perfect Game,"$3,931,367","$1,089,445","$2,841,922"
35,"9,255",2015,Chiamatemi Francesco - Il papa della gente,"$3,925,769",$0,"$3,925,769"
36,"9,256",2019,Eiga no Osomatsusan,"$3,925,767",$0,"$3,925,767"
37,"9,257",2007,Gracie,"$3,922,043","$2,956,339","$965,704"
38,"9,258",2017,The Nile Hilton Incident,"$3,919,113","$80,953","$3,838,160"
39,"9,259",2015,Escobar: Paradise Lost,"$3,917,679","$195,792","$3,721,887"
40,"9,260",2005,Mrs. Palfrey at the Claremont,"$3,917,595","$1,717,595","$2,200,000"
41,"9,261",1989,Earth Girls are Easy,"$3,916,303","$3,916,303",$0
42,"9,262",2016,Soreike! Anpanman: Omocha no Hoshi no Nanda to …,"$3,915,932",$0,"$3,915,932"
43,"9,263",2007,3 amis,"$3,915,346",$0,"$3,915,346"
44,"9,264",2017,Kodomo tsukai,"$3,912,025",$0,"$3,912,025"
45,"9,265",1980,Resurrection,"$3,910,019","$3,910,019",$0
46,"9,266",2017,Garde alternÃ©e,"$3,907,930",$0,"$3,907,930"
47,"9,267",2017,Film Stars Donât Die in Liverpool,"$3,907,740","$1,024,266","$2,883,474"
48,"9,268",2015,ReintsurÃ® no kuni,"$3,907,507",$0,"$3,907,507"
49,"9,269",1993,Warlock: The Armageddon,"$3,902,679","$3,902,679",$0
50,"9,270",2017,2:22,"$3,900,927",$422,"$3,900,505"
51,"9,271",1986,The Manhattan Project,"$3,900,000","$3,900,000",$0
52,"9,272",2007,Glyanets,"$3,899,426",$0,"$3,899,426"
53,"9,273",2018,Nesokrushimyy,"$3,898,030",$0,"$3,898,030"
54,"9,274",2018,Los futbolÃ­simos,"$3,897,549",$0,"$3,897,549"
55,"9,275",2003,L'auberge espagnole,"$3,895,664","$3,895,664",$0
56,"9,276",2016,Swallows and Amazons,"$3,895,661",$0,"$3,895,661"
57,"9,277",1994,Clerks,"$3,894,240","$3,073,428","$820,812"
58,"9,278",2007,Tian tang kou,"$3,887,998",$0,"$3,887,998"
59,"9,279",1989,Loverboy,"$3,887,852","$3,887,852",$0
60,"9,280",2017,Yoru Wa Mijikashi Aruke Yo Otome,"$3,886,903","$406,490","$3,480,413"
61,"9,281",2015,Long zai na li?,"$3,883,880",$0,"$3,883,880"
62,"9,282",1992,Man Trouble,"$3,882,058","$3,882,058",$0
63,"9,283",2017,D'aprÃ¨s une histoire vraie,"$3,879,894",$0,"$3,879,894"
64,"9,284",2015,Em La Ba Noi Cua Anh,"$3,876,671","$65,718","$3,810,953"
65,"9,285",2019,Geukjangpan Hellokabot: Omparoseu Seomui Bimil,"$3,872,562",$0,"$3,872,562"
66,"9,286",2016,Rules Donât Apply,"$3,871,448","$3,652,206","$219,242"
67,"9,287",2018,First Reformed,"$3,870,453","$3,448,256","$422,197"
68,"9,288",2018,Andre Rieus 2018 Maastricht Concert,"$3,869,719",$0,"$3,869,719"
69,"9,289",2015,Soromon no gishou: Kouhen saiban,"$3,869,485",$0,"$3,869,485"
70,"9,290",2015,Le goÃ»t des merveilles,"$3,865,682",$0,"$3,865,682"
71,"9,291",2015,Matrimonio al Sud,"$3,862,003",$0,"$3,862,003"
72,"9,292",2018,Wiro Sableng 212,"$3,859,763",$0,"$3,859,763"
73,"9,293",2017,DrÃ´les de petites bÃªtes,"$3,859,642",$0,"$3,859,642"
74,"9,294",2007,You Kill Me,"$3,858,964","$2,426,851","$1,432,113"
75,"9,295",2016,Throne of Elves,"$3,858,035",$0,"$3,858,035"
76,"9,296",1984,Flashpoint,"$3,854,833","$3,854,833",$0
77,"9,297",1985,The Heavenly Kid,"$3,852,271","$3,852,271",$0
78,"9,298",2012,The Deep Blue Sea,"$3,852,164","$1,126,027","$2,726,137"
79,"9,299",2019,Milliard,"$3,850,000",$0,"$3,850,000"
80,"9,300",2018,Blackmail,"$3,849,566",$0,"$3,849,566"
1,"9,301",2017,Django,"$3,847,465","$56,556","$3,790,909"
2,"9,302",2017,Petit Paysan,"$3,845,589",$0,"$3,845,589"
3,"9,303",2016,Chibi Maruko Chan â A Boy From Italy,"$3,844,017",$0,"$3,844,017"
4,"9,304",2015,Niyazi GÃ¼l DÃ¶rtnala,"$3,841,737",$0,"$3,841,737"
5,"9,305",2014,Turist,"$3,841,715","$1,359,497","$2,482,218"
6,"9,306",2006,Trailer Park Boys: The Movie,"$3,841,396","$3,833,507","$7,889"
7,"9,307",2018,Nanatsu no Taizai Movie,"$3,840,168",$0,"$3,840,168"
8,"9,308",2010,La donna della mia vita,"$3,838,596",$0,"$3,838,596"
9,"9,309",2008,Brick Lane,"$3,838,486","$1,094,998","$2,743,488"
10,"9,310",2018,Wendy 2 - Freundschaft fÃ¼r Immer,"$3,837,990",$0,"$3,837,990"
11,"9,311",2016,Himitsu: The Top Secret,"$3,833,651",$0,"$3,833,651"
12,"9,312",1991,Life Stinks,"$3,832,400","$3,832,400",$0
13,"9,313",2015,Chosun Masoolsa,"$3,829,088",$0,"$3,829,088"
14,"9,314",2010,El delfÃ­n: La historia de un soÃ±ador,"$3,828,898",$0,"$3,828,898"
15,"9,315",1997,Lost Highway,"$3,825,046","$3,796,699","$28,347"
16,"9,316",2010,To Save a Life,"$3,824,868","$3,777,210","$47,658"
17,"9,317",2018,KorÃ´ no chi,"$3,823,511",$0,"$3,823,511"
18,"9,318",2015,The Laws of the Universe - Part 0,"$3,821,361",$0,"$3,821,361"
19,"9,319",2015,Outcast,"$3,820,123",$0,"$3,820,123"
20,"9,320",2015,Sin hijos,"$3,819,914",$0,"$3,819,914"
1,"9,321",2013,Thanks for Sharing,"$3,818,604","$1,066,256","$2,752,348"
2,"9,322",2016,Non c'Ã¨ piÃ¹ religione,"$3,817,443",$0,"$3,817,443"
3,"9,323",2004,Benji: Off the Leash!,"$3,817,362","$3,817,362",$0
4,"9,324",2003,The Real Cancun,"$3,816,594","$3,816,594",$0
5,"9,325",2016,La corrispondenza,"$3,815,445",$0,"$3,815,445"
6,"9,326",2016,CÃ©zanne Et Moi,"$3,815,394","$257,597","$3,557,797"
7,"9,327",2013,Go Goa Gone,"$3,811,040","$295,414","$3,515,626"
8,"9,328",2003,Better Luck Tomorrow,"$3,809,226","$3,802,390","$6,836"
9,"9,329",2016,Green Room,"$3,807,503","$3,220,371","$587,132"
10,"9,330",2017,Asahinagu,"$3,807,061",$0,"$3,807,061"
11,"9,331",1980,Hide in Plain Sight,"$3,806,930","$3,806,930",$0
12,"9,332",2012,De Heineken ontvoering,"$3,802,218",$0,"$3,802,218"
13,"9,333",1943,Girl Crazy,"$3,800,000","$3,800,000",$0
14,"9,334",1954,River of No Return,"$3,800,000","$3,800,000",$0
15,"9,335",1986,Power,"$3,800,000","$3,800,000",$0
16,"9,336",1923,The Covered Wagon,"$3,800,000","$3,800,000",$0
17,"9,337",2010,Catfish,"$3,798,734","$3,237,343","$561,391"
18,"9,338",1980,Guyana: Crime of the Century,"$3,798,102","$3,798,102",$0
19,"9,339",2018,El Amor Menos Pensado,"$3,796,843",$0,"$3,796,843"
20,"9,340",2008,Tutta la vita davanti,"$3,795,187",$0,"$3,795,187"
21,"9,341",1995,Fluke,"$3,794,761","$3,794,761",$0
22,"9,342",1998,The Governess,"$3,794,031","$3,794,031",$0
23,"9,343",2017,Free Fire,"$3,793,739","$1,799,322","$1,994,417"
24,"9,344",2018,Huai Ba Ba,"$3,791,880",$0,"$3,791,880"
25,"9,345",2007,Closed Note,"$3,790,791",$0,"$3,790,791"
26,"9,346",1988,Sweet Hearts Dance,"$3,790,493","$3,790,493",$0
27,"9,347",2012,Celeste and Jesse Forever,"$3,787,689","$3,103,407","$684,282"
28,"9,348",2002,The Fast Runner,"$3,786,801","$3,786,801",$0
29,"9,349",2018,jeombaki hanbandoeui gongryong 2 saeroun nakwon,"$3,783,492",$0,"$3,783,492"
30,"9,350",2009,Mentiras y Gordas,"$3,776,883",$0,"$3,776,883"
31,"9,351",2008,Le fils de l'Ã©picier,"$3,776,454","$276,454","$3,500,000"
32,"9,352",1996,Barb Wire,"$3,775,952","$3,775,952",$0
33,"9,353",1984,Cheech & Chong's The Corsican Brothers,"$3,772,785","$3,772,785",$0
34,"9,354",2015,Jane Got a Gun,"$3,771,345","$1,513,793","$2,257,552"
35,"9,355",2016,Merci Patron!,"$3,770,001",$0,"$3,770,001"
36,"9,356",1987,The Monster Squad,"$3,769,990","$3,769,990",$0
37,"9,357",2007,Nitro,"$3,768,878","$3,768,878",$0
38,"9,358",2008,Cleaner,"$3,768,452",$0,"$3,768,452"
39,"9,359",1980,When Time Ran Out...,"$3,763,988","$3,763,988",$0
40,"9,360",2018,"Saraba seishun, saredo seishun","$3,762,474",$0,"$3,762,474"
41,"9,361",2017,Un beau soleil intÃ©rieur,"$3,758,446","$892,421","$2,866,025"
42,"9,362",2016,Zemletryasenie,"$3,757,826",$0,"$3,757,826"
43,"9,363",2015,Ange et Gabrielle,"$3,757,716",$0,"$3,757,716"
44,"9,364",2015,Boychoir,"$3,755,538","$366,474","$3,389,064"
45,"9,365",2018,Wildlife,"$3,754,539","$1,050,616","$2,703,923"
46,"9,366",1988,Imagine: John Lennon,"$3,753,977","$3,753,977",$0
47,"9,367",2014,What We Did on Our Holiday,"$3,753,965","$4,200","$3,749,765"
48,"9,368",1996,Feeling Minnesota,"$3,752,446","$3,124,440","$628,006"
49,"9,369",1987,Allan Quatermain and the Lost City,"$3,751,699","$3,751,699",$0
50,"9,370",2019,Arctic,"$3,743,603","$2,408,177","$1,335,426"
51,"9,371",2012,Detachment,"$3,742,697","$70,740","$3,671,957"
52,"9,372",2006,Room,"$3,742,521","$5,228","$3,737,293"
53,"9,373",2017,Love Without Words,"$3,741,863",$0,"$3,741,863"
54,"9,374",2018,"Les dents, pipi et au lit","$3,741,800",$0,"$3,741,800"
55,"9,375",2000,Up at the Villa,"$3,740,113","$2,933,161","$806,952"
56,"9,376",2001,Hedwig and the Angry Inch,"$3,740,030","$3,067,312","$672,718"
57,"9,377",2018,The Connection,"$3,739,582",$0,"$3,739,582"
58,"9,378",1984,Exterminator 2,"$3,739,406","$3,739,406",$0
59,"9,379",2007,The Ex,"$3,738,622","$3,091,922","$646,700"
60,"9,380",2009,Diverso Da Chi,"$3,738,076",$0,"$3,738,076"
